Nombre,Apellidos,Numero_Identificacion,Fecha de Nacimiento,Fecha de Jubilación,Bases de Cotización,Años Cotizados,Comunidad Autónoma,Invalidez
Tamara,Harris,a9b460a58510506bd1d2eb46bb7bb378a7f0f071c81e784c5c753d079a875980,1950-03-13,2023-02-28,558586.43,22 años 6 meses,Galicia,True
Scott,Shelton,108dadf8db9239e73d8e5ff7372fbe6c53bce244f400e67e580a062685d28b5a,1948-12-25,2023-02-13,568782.88,23 años 4 meses,Galicia,True
Renee,Young,15959e54c2e6602374abc0dfb2d312841f1a0ffc0ac85e1fc663e17ccc896138,1952-09-20,2023-04-10,597591.32,35 años 4 meses,Castilla y León,False
Steven,Brown,2920afdcff20a79dd9c5c3d848bf82863bee1cb7adc248dde9f23b425b380266,1949-07-19,2023-01-23,613845.14,25 años 8 meses,País Vasco,False
Paula,Branch,7f43eab10b563af390add69a400ba1d120da4351509fc922c7d3c221ef71578a,1949-03-25,2023-09-14,483604.29,18 años 2 meses,Andalucía,False
Jonathan,Ryan,e5d930825beffe89afd4105801c1319bcd90c6e1f76eb5f08f713d0a12302865,1952-11-09,2023-07-03,562965.54,24 años 8 meses,País Vasco,True
Nathan,Montes,d69be1f178dd6f7fc34265097d6e32337d76e96fe39253fccc6782627b6bd220,1958-04-26,2023-03-10,597380.22,44 años 9 meses,Comunidad Valenciana,False
Christopher,Richards,b480409e972069f73db436c7c53d0b18e5b3df2812b19831a3ca99237cc0c527,1958-07-30,2023-07-13,600109.92,39 años 2 meses,Madrid,True
Faith,Campbell,237a2de5ae791c6a6099a36f2ac4cc2d2b653bff3b89872654f2856230685efa,1955-08-05,2023-07-09,598063.1,30 años 9 meses,La Rioja,False
Anthony,Gutierrez,2d65c22fee5509b94e24368be13b5a6ad2cf1a381a35f4b39ff458d0e9f0395e,1958-08-09,2023-07-20,599882.99,43 años 1 meses,Canarias,True
Lisa,Ware,0c51bd48d0ae1879fb47c7f902cdd3d3747c078a57b2a70430e0509ae15c8bb5,1958-04-16,2023-09-23,612445.79,37 años 10 meses,Castilla-La Mancha,False
Robert,Newton,05d2433432e80b76c767b7c676392dadafa852910a3bd4c22ebb93d61c4f17cf,1954-02-17,2023-03-06,500558.86,19 años 7 meses,Galicia,True
Kelli,Hunter,c807b64c38f079f97aafd30634e7aec7f505d4a6f31cd79d637b2ad2f4133c52,1950-01-03,2023-04-03,603379.3,31 años 9 meses,Galicia,False
Colin,Cardenas,7075783cc9d1c96216b28f78a94bc6dd707075300f8868e682cd543680958bbd,1954-12-01,2023-02-24,555458.87,23 años 8 meses,Madrid,False
Edwin,Blackwell,30047148e8c0432fa9e2cec4985b231507e3399bec4da4f3fc920c78169de7af,1954-09-11,2023-11-08,542360.53,21 años 2 meses,Navarra,True
Erin,Smith,43aa76f5ff5d6ffdbbcb0c226d2d62e1df65c790ca4ac42542993e2674652a91,1952-01-20,2023-06-22,589725.99,25 años 8 meses,Castilla y León,False
Jessica,Sampson,cfe6d9425f0a3ea27a8ec3f0d4e51712d7ca52ae94bf5aa905039e696d444ee6,1955-01-08,2023-09-11,612613.65,26 años 6 meses,Castilla-La Mancha,True
Christopher,Myers,801c015314ba86c403458dfa8742d37d389766c6e48b8e9fccc29f1cc1a93c91,1958-04-23,2023-12-16,616199.09,40 años 7 meses,Andalucía,False
Sara,Gonzalez,ff3a065bb1eea5762a4ec2f36f7974c8548a212a646cc529907e835a199ca934,1957-12-29,2023-11-15,603211.64,42 años 9 meses,Andalucía,False
David,Novak,17184b86eac5405e4755541f5d032e00d23d2c411b742a82efa975414339c461,1957-12-27,2023-02-20,591720.66,38 años 4 meses,Aragón,True
Holly,Cox,b4b40b01944e24cdba1f25e221e6a2f442caf967911f13154b6e01666457e3dd,1955-02-21,2023-10-05,580761.15,24 años 11 meses,Navarra,True
Tammy,Taylor,41ad6f9b739e4c39326686b68b2be46bb5814e983350b41f96ebe84fa794f7a0,1949-04-06,2023-11-16,604339.42,30 años 1 meses,La Rioja,False
Ronald,Crawford,a208069d3283b10798b447befdd9dfce25b5f86fb5e3c8a17fd1f50b33d563c0,1950-12-02,2023-10-27,595544.21,36 años 11 meses,Aragón,True
Jessica,Martin,a57eb2399363d9d06594f9d2e0e741302f887888bcc64026287cfb802cd14a01,1955-06-25,2023-09-05,584944.09,31 años 0 meses,Extremadura,False
Tonya,Anthony,62b31c1b6ab8c535b9d8aa6e8d5637d8f26c1e6ea6204a760f7430b4c7ed5d4b,1958-07-21,2023-03-24,593409.31,45 años 1 meses,La Rioja,True
Anita,Jackson,7eaf77eb8caad9fb27725c4c0f1f88e6475df5f56ef79f562330bc7797b99852,1947-11-22,2023-09-21,559309.06,22 años 1 meses,Cataluña,False
Vincent,Foster,19e3855465ec93991954d2bc3a231f253eec21cd625293ebed4ea64579be64af,1958-10-24,2023-04-26,586849.19,42 años 8 meses,Asturias,True
Kellie,Holt,ab8d2b05554e831207a05d9d310b2fb40117db11e70f54c37222957a8b4aa0af,1954-07-30,2023-12-09,517159.44,20 años 6 meses,Galicia,False
James,Sexton,0faf7ad531e019dccf8ff2a009f365d05220054c18a0047a0b46a1d1afbd369a,1951-08-15,2023-02-08,611622.65,26 años 1 meses,Extremadura,False
Sandra,Hughes,501278efa467b6d6576e234136af7300ff0e928d3d9977eb5c575debccd90f34,1952-09-19,2023-12-16,612073.97,35 años 9 meses,Andalucía,True
Elijah,Cochran,d70163acbbbc773cf42c29d67b8b73ca3b4ad6d48c4c47bb19c4bf8ef2f760d4,1953-02-12,2023-07-03,521680.85,20 años 5 meses,Andalucía,True
Anthony,Kirby,fba8be5895fb161b05f75ca3ad71df4a0ac507f3f8ebbb4a470a50d54db86c1b,1952-10-05,2023-01-05,599657.17,31 años 3 meses,Navarra,True
Andrea,Tyler,88709105cdea350edbf1e4b19ad73c9477689c21f122f17adb493d0e1e3b497d,1948-04-11,2023-11-21,612236.12,28 años 4 meses,Navarra,False
Willie,Myers,77f5475061ee8e5212e87402f764670f6a9877c98ee10fc1c6a103b047abc4fc,1958-04-05,2023-04-23,602570.73,38 años 8 meses,Madrid,True
Jason,Hall,24122775b15763fe65643d4cadd9c4c1841101fa22b81ee116b3e2e3dd8b4d59,1951-05-27,2023-12-13,572750.84,23 años 4 meses,Aragón,False
Clinton,Garcia,6731146292e6cdd80cb7243f394c8edabac57e0254d8305dce45a377dc7110da,1958-08-29,2023-04-17,620003.57,39 años 3 meses,Cantabria,True
Shelley,Ray,18f326643a4f557710d89646fbaf4a10448ef4585c961df6c1954dfb8adb8173,1958-09-14,2023-06-27,605861.74,41 años 8 meses,Cataluña,True
Matthew,Terrell,3b6d0ed5f40654e0c87b23e4e69e1358d2ef23a9f61a6628436a284c0d81d89c,1955-04-20,2023-06-11,587051.38,32 años 4 meses,Andalucía,True
Cassandra,Ewing,abd3953712996fcbba28f47e07017aef97b2905492551a65e5f3bca310b9959d,1958-07-28,2023-01-05,608507.39,43 años 11 meses,Murcia,False
Michael,Hall,3556228aa1bd1764b53d7c25c1c7e250259caf66431b656736e549ed3dbd9fcf,1956-04-26,2023-11-07,613453.89,26 años 7 meses,Galicia,False
John,Le,a8b17e44bb253da2b6af2a817ddfc15a8638b0050422be0f113c7855183caf74,1958-01-17,2023-11-10,618859.68,44 años 9 meses,Extremadura,True
Brent,Dennis,3d9ee618f08936e9f9bd072b014cd385efda06eee25a29e4bd23968e4c56c13e,1954-10-27,2023-12-01,538750.18,21 años 6 meses,Extremadura,False
Annette,Taylor,91503cb74a07b190e94858058ac72d6e9a188dd9e5f869a4d3d6ad5d1c20bd0c,1957-12-08,2023-03-01,604279.7,40 años 3 meses,Aragón,False
Dustin,Scott,92b84ccef28a0a306257ace7b45a86d92722ed823a77ded6e7ceb93def86f0b2,1957-04-28,2023-01-08,510436.0,19 años 9 meses,Madrid,False
Matthew,Sosa,9ed7d9ed2c8ba71b7132602c02eae5e7ba9ac5f106a0c2e8ab5d335ed0fa4c03,1951-08-10,2023-12-28,545436.37,21 años 11 meses,Comunidad Valenciana,True
Mary,Turner,b854c5a734fc54cd193b00b0ec62ce96da7a0cdb8fe3ec1cad74af55791ac2e3,1954-03-07,2023-10-05,588653.93,23 años 2 meses,Comunidad Valenciana,False
Debra,Trujillo,f0e7eddf63a0d529fdf8ce20bccfc33297f2af728ec837ff2fd6ed45913cad30,1955-04-12,2023-09-17,599059.78,31 años 11 meses,Asturias,False
Brandon,Yoder,4205a1693b32873694b976b171b019f05b53339cd9eae02d1f70a8822b896d43,1956-06-23,2023-12-04,534310.15,20 años 5 meses,Murcia,False
Zachary,Hansen,4c8627aef1ba8dd386a9975782bafb0d8474dff58c5462c66a916f74164ac7a3,1955-08-11,2023-07-02,517509.71,20 años 4 meses,La Rioja,False
Anne,Johnson,49ef30b662e5b0ca2dcdc53247e04eac7783d25394ba9cdb29ee7ba46c384a98,1958-04-03,2023-05-22,595583.22,41 años 3 meses,La Rioja,False
Yvonne,Brewer,1c41b677063cc3ad1450c160048f3adbb1928ff36c6430043735e0465cd53cda,1958-07-18,2023-01-08,588456.14,42 años 6 meses,Navarra,True
Cheyenne,Harrell,50e817b77f29e717b5b5c8ce7eb320009ca18c0830923c85a93ded3759f46065,1953-11-05,2023-03-10,583245.58,33 años 8 meses,Comunidad Valenciana,True
Tracey,Porter,bb2f8bb049f0fe4c9dd11bdf2015be41ca84d2a365642ae3f798a15e705f1138,1952-10-09,2023-06-18,608428.07,28 años 2 meses,Extremadura,False
Nathan,Cowan,fa55f992fd81698d7b4b2ebfb49feea20b3aed3a3d6c2be6ef95511a91ac3536,1958-01-23,2023-02-27,590870.46,40 años 2 meses,Cantabria,False
Paula,Burch,34d893f18d05549c6d920f6b704b922f28ab757396d660974d8e47b353d4e644,1954-09-05,2023-07-05,466667.68,17 años 9 meses,Cantabria,True
Amy,Preston,82fa27ff2bab36a34212857ad6b7ee557965c9c8e18ade347f32b6b83b46e9d0,1958-05-17,2023-04-04,614082.61,44 años 10 meses,Castilla-La Mancha,True
Hannah,Marsh,29ccea8c1617e7d5c84e3a64dba0e5d9214ba8068d08fb75e1d3f287c881710f,1956-09-13,2023-05-11,603352.21,32 años 3 meses,Galicia,True
Peter,Jensen,e95916deed85425669174b1ffb7b0e5be31d6202ed8f6b49cb8aed8a98742a7f,1948-02-02,2023-08-28,608384.36,33 años 5 meses,Extremadura,True
Francis,Garza,b1531c0bbd4c35e3d80cf8136f4cb8f9c716c438914e801cc2dad25f49b6a3b2,1958-06-13,2023-09-21,591338.12,41 años 8 meses,Cantabria,True
Anthony,Rios,d886652e9f0957067fa99538b55afe7f895b9be45daa66abec12d9fec25c550b,1951-09-25,2023-08-28,610156.1,28 años 9 meses,País Vasco,False
Miranda,Medina,6e9cd12b62a7449cddca0e40eb5549a6faf249d9efafb821521efd8ac4aff8f0,1953-10-28,2023-06-14,533109.83,21 años 11 meses,Galicia,False
Kayla,Jimenez,a73ddeb6af071e0016fd7cb1509f10f8e88910cf198e957d63d69e840e60bae6,1955-12-25,2023-01-20,595068.02,34 años 11 meses,Castilla y León,True
Kelly,Stephens,fde568b0d31a1f6c5ae1b7630312e89f36062b3b50d84f09ab12a775e5a2d4e7,1957-12-21,2023-04-14,599622.16,40 años 8 meses,Canarias,False
Marissa,Hayes,9dc33a04bed236d87be901f69f2ab2fa7b1babae02dae1261d118ed2938b15e2,1958-01-01,2023-09-14,586272.53,41 años 8 meses,Murcia,False
Sandra,Ramos,4990ffbbf29c6166388ac407efa537dcb8816f0f893593bc358b32a04103dc4e,1948-07-05,2023-04-19,426335.74,15 años 11 meses,Aragón,True
Angela,Herrera,34932e85c2d292cb97a2282f18b6acd97a8ac05ee65b0a914b282402ea5b6684,1950-03-15,2023-04-16,595883.51,30 años 6 meses,Murcia,False
David,Blake,f81f750f99e03ff356d03453dfb6c69d66f25724129250f1cc1da0966e393658,1955-09-30,2023-07-21,583605.07,31 años 3 meses,Galicia,False
William,Patterson,71c229e47fa1d4be6157287da6116de2c2c948ae5839c49b8d11bc6c9af9718b,1949-01-28,2023-01-23,599483.82,29 años 7 meses,Galicia,False
William,Wilkerson,04c3a776855e3f03006a187adc11e7138af2a4c63cf4273ded202d65d46ced96,1948-04-26,2023-11-26,512955.3,20 años 8 meses,La Rioja,True
Richard,Lawson,18573775ff634bc1c6b5af7b0228eb8a5fd325cca2732276acd3f7328dadaca9,1948-02-21,2023-09-22,603724.28,33 años 8 meses,Canarias,False
Dakota,Collins,a6d216448690d5de9bbf4ac0b8c00a61c9a175e0a49d21765aa0623f41dcb5d2,1950-06-21,2023-05-25,605738.16,29 años 7 meses,Cataluña,True
Amy,Zimmerman,8c3f5a9378846ce195b6d15cc00650da887d0a13893009785c8475d35642b58a,1958-10-10,2023-01-14,614101.05,42 años 2 meses,Islas Baleares,False
Lori,Shepard,95927d91d2405e51cb0c7cdaffc2e32cb01f15b537966bd8aa8a6c67decfd46c,1948-03-12,2023-11-20,595886.02,33 años 5 meses,Cataluña,True
Clinton,Alvarez,10e1d6091d43480f84ee526abda1ccc547bab578bc4f3f8afd349faa2e87674c,1958-03-24,2023-03-24,606666.5,39 años 10 meses,Comunidad Valenciana,False
Jason,Owens,1fa2916d9ccfa93a3abfb1c4323c22b2e4ec2f5eb86b621c4b0078d7bc78844e,1947-11-22,2023-06-16,605179.16,28 años 0 meses,Navarra,False
Andrew,Holmes,ea3fe995d274c9a7eee795522b3e26d4bdd63966338e3b07d5486d275df02575,1949-04-20,2023-05-10,503001.55,19 años 7 meses,La Rioja,False
Christina,Molina,e961f9a5afdd513b715efbf99337ba8a3a05c3c61575f4db741a5e10c58c308f,1958-08-31,2023-11-02,612372.63,40 años 0 meses,Asturias,False
Stephen,Lambert,84022f145277d8658690effd0e16edb99a6401bca5512bcff108081d6a2bf42d,1953-04-20,2023-09-17,589803.89,29 años 10 meses,Castilla-La Mancha,False
Brady,Love,57ad3b66a1b203f319158c36b59f106015dd730a128abffcf18a6ec8c1b22733,1948-09-14,2023-11-24,608768.15,32 años 8 meses,Canarias,True
Ashley,Gross,970e9c230b40720edf2b6fc732644faa18dd94b1e87a072692bbe0ba304e6266,1953-10-30,2023-07-02,577663.65,34 años 10 meses,Asturias,True
Amy,Lang,e4d787e169048de2f0eaf9dfd6976baec4496ee07d03315bf31a92df7fedf70d,1948-07-22,2023-08-24,605282.69,28 años 3 meses,Navarra,False
Allison,Harris,a5a60761b3bb72ec8add4d63fdf70515481f4808d44dd455c21c69f411e9dbf9,1951-03-25,2023-05-08,603862.69,37 años 5 meses,Extremadura,False
Bruce,Jordan,994333931441bfdd7dd33dbc967087fcd820d40163a821118f5dffd388cbb247,1955-06-18,2023-08-06,476474.61,17 años 9 meses,Galicia,True
George,Morgan,b35bb21f4edce9e4e3c05a58d40695fcc08fd5f18e544cadbf9c77cec381e4ff,1955-12-19,2023-09-03,606640.96,34 años 3 meses,Canarias,True
Charles,Blanchard,e326976c2764485fa665cb9fe5c47d3e6b6f94b6f37f2b06ba060230540c465b,1958-08-24,2023-07-14,607069.45,38 años 0 meses,País Vasco,False
Katie,Thomas,57bb8a17a5d2c6dd4ef98cb32dfbd7fcd4885a7e1e83b0b9204b7aa9fe3c5846,1950-12-04,2023-09-01,429444.87,15 años 6 meses,Canarias,False
Tracy,Robinson,399c12e3baca21bb917c8bece12299c72248c8d8f0ce02a2978a1913525999a4,1955-04-18,2023-06-27,430924.89,15 años 3 meses,Comunidad Valenciana,False
Deborah,Hall,21489131ca012086c32037af2af964b7501e19e3e685ec33740f95dc2404b655,1954-07-11,2023-03-03,595814.22,24 años 2 meses,Canarias,False
Keith,Miller,e956fa176a0f6c75f784be7851f71a8e8e01d1f074c2fb04ab5c81c601a6b8be,1957-03-16,2023-01-13,494251.47,19 años 9 meses,Castilla-La Mancha,False
Monica,Harris,ed5440d79c4c9385f2832479b267b632d3d676dd49b3cdadf210a20e72dbfe4d,1955-03-20,2023-03-25,593565.33,29 años 7 meses,Cataluña,False
Haley,Holland,49c749a9ec8b0e042c985ef82f3549f0e306d29f718249d4d3c673e434bb337a,1953-04-08,2023-08-20,543760.15,20 años 3 meses,Aragón,False
Lindsey,Brown,d8acd13947e6d55fcac903608e93d32b4bcb11c9f2aecd8d04ffd9e39bb172ac,1949-09-10,2023-02-08,592131.02,25 años 1 meses,Cantabria,True
Carrie,Salazar,8c8d0f955a1d89c56fb2bdbd0b68a78797a7c4a27019cdb756b8ccdebad6223c,1956-04-30,2023-11-25,583131.11,28 años 2 meses,Navarra,False
Paul,Nelson,2e1c066d91997c3e9df4de80c7661f0b34479ba997d6abae2d2ba43a9d4d57e6,1953-09-22,2023-08-11,580847.72,23 años 4 meses,Canarias,True
Joshua,Payne,cf23f5dd04ec850be93852772fd19570e09deaf5cddb9373cf4816e7d16dea0c,1951-02-06,2023-10-17,597720.19,30 años 10 meses,Murcia,True
Amy,Hensley,a74fd38cd27538a146ee0999dfef59bff08e023c94ac9c59902898f47a989a2e,1957-12-22,2023-05-08,609275.58,40 años 4 meses,Islas Baleares,True
Kevin,Smith,ff54496aad203545db7846dda24c08342597e0cc34b2dbd7eff414396089e8be,1952-09-29,2023-05-08,605295.76,28 años 5 meses,Galicia,False
Barbara,Lam,e5dbcb97d22e484a655f0c793d710619cd020d2e784ff16682acb94d6351dd51,1949-03-10,2023-03-04,605960.89,25 años 7 meses,Castilla-La Mancha,True
Tim,Torres,e96c3d106641dd573cd4168b66c47963a865ba2fd4672d86f94a23606dcfaa87,1949-02-17,2023-09-12,562829.42,23 años 8 meses,Cataluña,False
Rachel,Chavez,71b0cf4f3f5b42b6861dd0ae3a751040a470c253a45e1c9791e7166e9872181d,1958-02-20,2023-01-09,603798.37,44 años 1 meses,Navarra,False
Kristin,Taylor,21a089d53ff998662f3f51e001a799f90a54e54f62959e8e2314664c80cac55c,1952-07-03,2023-05-06,597297.06,32 años 7 meses,Islas Baleares,False
Todd,Coleman,b6f07e8ffbd3c21c10eb9023c53ce1b42351f470d95bce84f25cd4cf25de10b0,1952-02-01,2023-02-21,426903.39,16 años 10 meses,Castilla-La Mancha,True
Katelyn,Coleman,6a018ef1385142e69ca68f3599ebb3ab927ca94f125d3455c285e84fc671caf3,1949-07-07,2023-10-27,596501.23,28 años 5 meses,País Vasco,True
Felicia,Hayes,d3e105ebb476aed804923977b7d366a85daf4c0ca97fad1d9dd405d4b8b76bb7,1957-06-16,2023-06-06,604551.56,36 años 6 meses,Andalucía,True
Catherine,Olsen,8b1668abab94bcfedbd42928206ec0f2d81b6848e3c97268791f3db7911cb2f2,1950-11-23,2023-01-18,601562.37,32 años 2 meses,Cataluña,False
Kenneth,Gay,08fc1c97388acdb40bf0484db2941bbdb2d30cfbc00146624e4c8653f9d9a40d,1952-08-06,2023-09-18,469766.91,17 años 2 meses,Cantabria,False
Katherine,Gutierrez,589690e5210bf063c6e42331a6ec53a71411dbb297ba644f3e0285f53d472826,1947-12-09,2023-06-07,529553.84,21 años 11 meses,Murcia,False
Stacey,Bishop,e076df9d1ef19fbd851892c41d1fd7c97348f30ed827f8ba55efbcf3c12b2284,1948-03-25,2023-06-10,527629.23,20 años 6 meses,Castilla y León,True
Denise,Cook,249369187565ddb0bfec6ac49fb149108800fa3229be294159583dd3a670963e,1958-05-19,2023-08-09,620224.78,38 años 5 meses,Murcia,True
Gerald,Collins,36eb1834da389445efe1e3004fabc4e6911926e7a014d1374cd7979d90ac67db,1958-04-21,2023-10-14,610771.27,38 años 9 meses,Navarra,False
Ann,Mccormick,3a2120d181fc8e4a1a8892b6ec939eae459c3f9f027588737bdbba3d93693870,1952-02-12,2023-04-15,546049.64,23 años 11 meses,Madrid,False
Jack,Dean,5d30a937be40cf7f47aaec75506b905964f9320f40cccae063bb6b5dec6035d6,1958-07-24,2023-07-28,599503.29,44 años 8 meses,Castilla y León,True
Angela,Swanson,3738c16fa8ae668bd23f6b5ae4089a15ec531bd22976350a3eef91f73b52600c,1953-05-29,2023-03-12,428215.37,15 años 9 meses,La Rioja,True
John,Le,b8ca0801eec9b3e825f0df52034fb03554aa2598f7ab55c67f18365a71d35891,1958-01-18,2023-03-07,603824.0,43 años 4 meses,Galicia,True
Cheryl,Jordan,0ac50c3627184e730ed73ae96f03964e7ab13028aeb4b4d8a7954152846028f2,1953-12-05,2023-01-11,592770.34,37 años 2 meses,Madrid,True
Christopher,White,2eba4443f77577cd0f21c60553838fb87bc1d866e687c0bd6a3c6ec052c8eb72,1958-10-30,2023-06-20,597570.47,45 años 7 meses,Islas Baleares,False
Corey,Stevens,23a76cb5e7775e5db8da8a7b4926e30a445d9b9f80bea6f89a09c10f13c6f454,1958-01-22,2023-09-01,616937.47,43 años 8 meses,Asturias,False
Levi,Chavez,92e1db41da714d68116c9be19433040ec91689f9ea5637960850942c021e0973,1958-09-16,2023-10-07,602349.72,38 años 2 meses,Extremadura,True
Richard,Woods,b1b01ba8d7298ff577f1404c19eac0acb765213cfad215803bddbb4229be3f0a,1947-11-22,2023-04-17,589967.9,32 años 6 meses,Islas Baleares,False
Francisco,Rodriguez,c6c53303d66d084439687e03317b32d1038ab9bf7ed5ad0133c2fbdd2fe99dec,1948-04-15,2023-10-14,549343.6,22 años 9 meses,Aragón,False
Anthony,Harris,0ca7f5703fc9bfe4e84871b0a1e4f7499d587b740351a5cd45813c1d78a62001,1954-11-18,2023-03-19,566715.94,24 años 10 meses,Asturias,True
Patricia,Taylor,2e9b6398528453b7f6c4faa829250e93339e7f327c21489e16e8f128a62c5750,1953-06-01,2023-03-09,620400.09,35 años 3 meses,Murcia,False
Miranda,Ward,a173ab478874b9d5d729758338ef854349ab797de37186e2392667fc11030e48,1958-05-19,2023-09-12,586616.27,42 años 9 meses,Extremadura,False
Heather,Brown,2b43953e2c650dff9bafe33f219834fc88bd0a6c0cfd87c8fad2ee2fb288eafb,1958-02-15,2023-01-17,598586.69,43 años 10 meses,Aragón,False
Mary,Robbins,c2e7e677376a88cb6a92b908f522d70eb9d7a6f2028a2236191f7c8872a64558,1958-07-08,2023-03-20,605820.66,45 años 1 meses,Extremadura,True
Kathryn,Russell,638ce69d3371ee88c7245448eb4bb6eb486d4dcd9b9cf6b025a6743c4a9d2f6f,1952-03-13,2023-10-10,532213.97,20 años 0 meses,Andalucía,True
Andrea,Collier,95e0c3980871be51c5ba8a91da7f8a68e0bc9185e2725f67ad7678ffd93590c1,1952-07-11,2023-08-09,579727.62,24 años 3 meses,Islas Baleares,False
Heather,Garcia,1b207be416cfdad19191a7220a498a45ad3be2a4ed9f42a5c09d9f55554f108b,1958-04-10,2023-04-27,595041.27,39 años 10 meses,Castilla-La Mancha,False
James,Miller,8f6a8d66924f719e91d0a2f41c2a6fe214eb10a08bc2711c3f24d65fc6d60e0b,1953-10-18,2023-01-02,573416.18,23 años 2 meses,Galicia,True
Victoria,Knight,f2f348c05b9963a52693f9157e506ade9cfa6bdad0c821bd36174e103a6adb8f,1952-03-04,2023-10-02,548343.12,21 años 3 meses,Madrid,True
Matthew,Leonard,efb6f45cf494baa60ceda934eb5fc65f95912f1807854b8f5d17f34ffd4498da,1958-10-21,2023-05-26,590978.29,42 años 7 meses,Galicia,False
Dalton,Hernandez,c4a66d895288ea9a3cd9ae36d9b40adfb66c6101c6545f1502f6dcdeda495bcb,1957-02-08,2023-01-02,592799.35,28 años 4 meses,Cantabria,True
Adam,Clarke,16ad6d80f8490c1eaed3140e819832f418b191aaed77d7b8a7d0bcba126e1ff1,1957-05-27,2023-02-12,627259.5,32 años 4 meses,Asturias,True
Kenneth,Parker,b6d70e3ad741054b1635c010b0658c674a1b26340a10592495a3add65474072f,1950-04-19,2023-04-16,605887.62,32 años 3 meses,Murcia,True
Kevin,Johnson,03fd331a06590aaccddd3d90fc2d2a3e77022644deaafda10367cc738f7b9d37,1950-11-19,2023-11-12,607557.44,37 años 3 meses,Castilla-La Mancha,False
Tiffany,Quinn,4b2fec752092b26a8ae4d81e7df58393b1020fa8ea666da8d408a6a2b5ddaeef,1955-04-26,2023-12-09,597184.2,30 años 0 meses,Islas Baleares,True
Aaron,Quinn,888fd3ba4079bbdd84718486bcb90eb96a262168da1d83ed5ab5c753a9ddc760,1958-03-07,2023-04-23,608252.87,40 años 0 meses,Asturias,True
Andrea,Patterson,85c0a9671c091088373bd423336cf2e946a362c7ff0d2c1b2c10e0a5c6a5aa66,1954-03-05,2023-10-01,431071.99,15 años 2 meses,Castilla-La Mancha,False
Breanna,Greer,b5a45bce180354594673984225f0db1a5b6790d7414de064203864234305bf2a,1949-06-05,2023-12-14,608006.99,36 años 11 meses,Asturias,True
